25/02/2022 09:47:15, OPT3001, L, 171.84
25/02/2022 09:47:16, OPT3001, L, 171.20
25/02/2022 09:47:17, OPT3001, L, 170.56
25/02/2022 09:47:18, OPT3001, L, 169.92
25/02/2022 09:47:19, OPT3001, L, 169.60
25/02/2022 09:47:20, OPT3001, L, 169.60
25/02/2022 09:47:21, OPT3001, L, 169.28
25/02/2022 09:47:22, OPT3001, L, 168.96
25/02/2022 09:47:23, OPT3001, L, 168.32
25/02/2022 09:47:24, OPT3001, L, 167.36
25/02/2022 09:47:25, OPT3001, L, 166.96
25/02/2022 09:47:26, OPT3001, L, 166.96
25/02/2022 09:47:27, OPT3001, L, 166.64
25/02/2022 09:47:28, OPT3001, L, 167.28
25/02/2022 09:47:29, OPT3001, L, 166.72
25/02/2022 09:47:30, OPT3001, L, 167.28
25/02/2022 09:47:31, OPT3001, L, 167.04
25/02/2022 09:47:32, OPT3001, L, 166.64
25/02/2022 09:47:33, OPT3001, L, 166.64
25/02/2022 09:47:34, OPT3001, L, 166.32
25/02/2022 09:47:35, OPT3001, L, 167.28
25/02/2022 09:47:36, OPT3001, L, 168.96
25/02/2022 09:47:37, OPT3001, L, 168.32
25/02/2022 09:47:38, OPT3001, L, 167.04
25/02/2022 09:47:39, OPT3001, L, 167.68
25/02/2022 09:47:40, OPT3001, L, 167.36
25/02/2022 09:47:41, OPT3001, L, 165.68
25/02/2022 09:47:42, OPT3001, L, 163.76
25/02/2022 09:47:43, OPT3001, L, 163.12
25/02/2022 09:47:44, OPT3001, L, 162.48
25/02/2022 09:47:45, OPT3001, L, 162.16
25/02/2022 09:47:46, OPT3001, L, 161.52
25/02/2022 09:47:47, OPT3001, L, 161.52
25/02/2022 09:47:48, OPT3001, L, 161.20
25/02/2022 09:47:49, OPT3001, L, 160.88
25/02/2022 09:47:50, OPT3001, L, 160.56
25/02/2022 09:47:51, OPT3001, L, 160.56
25/02/2022 09:47:52, OPT3001, L, 160.56
25/02/2022 09:47:53, OPT3001, L, 160.56
25/02/2022 09:47:54, OPT3001, L, 160.84
25/02/2022 09:47:55, OPT3001, L, 160.24
25/02/2022 09:47:56, OPT3001, L, 160.84
25/02/2022 09:47:57, OPT3001, L, 160.52
25/02/2022 09:47:58, OPT3001, L, 160.52
25/02/2022 09:47:59, OPT3001, L, 160.52
25/02/2022 09:48:00, OPT3001, L, 160.52
25/02/2022 09:48:01, OPT3001, L, 160.20
25/02/2022 09:48:02, OPT3001, L, 159.88
25/02/2022 09:48:03, OPT3001, L, 159.56
25/02/2022 09:48:04, OPT3001, L, 159.24
25/02/2022 09:48:05, OPT3001, L, 159.24
25/02/2022 09:48:06, OPT3001, L, 159.24
25/02/2022 09:48:07, OPT3001, L, 159.56
25/02/2022 09:48:08, OPT3001, L, 159.24
25/02/2022 09:48:09, OPT3001, L, 158.92
25/02/2022 09:48:10, OPT3001, L, 160.20
25/02/2022 09:48:11, OPT3001, L, 160.52
25/02/2022 09:48:12, OPT3001, L, 158.92
25/02/2022 09:48:13, OPT3001, L, 157.64
25/02/2022 09:48:14, OPT3001, L, 157.00
25/02/2022 09:48:15, OPT3001, L, 156.68
25/02/2022 09:48:16, OPT3001, L, 156.36
25/02/2022 09:48:17, OPT3001, L, 156.36
25/02/2022 09:48:18, OPT3001, L, 157.32
25/02/2022 09:48:19, OPT3001, L, 158.60
25/02/2022 09:48:20, OPT3001, L, 158.60
25/02/2022 09:48:21, OPT3001, L, 161.20
25/02/2022 09:48:22, OPT3001, L, 160.52
25/02/2022 09:48:23, OPT3001, L, 158.92
25/02/2022 09:48:24, OPT3001, L, 157.64
25/02/2022 09:48:25, OPT3001, L, 158.60
25/02/2022 09:48:26, OPT3001, L, 157.96
25/02/2022 09:48:27, OPT3001, L, 158.28
25/02/2022 09:48:28, OPT3001, L, 157.96
25/02/2022 09:48:29, OPT3001, L, 157.64
25/02/2022 09:48:30, OPT3001, L, 157.96
25/02/2022 09:48:31, OPT3001, L, 158.28
25/02/2022 09:48:32, OPT3001, L, 157.32
25/02/2022 09:48:33, OPT3001, L, 157.64
25/02/2022 09:48:34, OPT3001, L, 158.60
25/02/2022 09:48:35, OPT3001, L, 157.64
25/02/2022 09:48:36, OPT3001, L, 157.32
25/02/2022 09:48:37, OPT3001, L, 157.64
25/02/2022 09:48:38, OPT3001, L, 159.24
25/02/2022 09:48:39, OPT3001, L, 159.56
25/02/2022 09:48:40, OPT3001, L, 160.20
25/02/2022 09:48:41, OPT3001, L, 160.52
25/02/2022 09:48:42, OPT3001, L, 160.20
25/02/2022 09:48:43, OPT3001, L, 160.20
25/02/2022 09:48:44, OPT3001, L, 159.88
25/02/2022 09:48:45, OPT3001, L, 159.88
25/02/2022 09:48:46, OPT3001, L, 159.88
25/02/2022 09:48:47, OPT3001, L, 159.88
25/02/2022 09:48:48, OPT3001, L, 159.88
25/02/2022 09:48:49, OPT3001, L, 160.20
25/02/2022 09:48:50, OPT3001, L, 159.24
25/02/2022 09:48:51, OPT3001, L, 157.64
25/02/2022 09:48:52, OPT3001, L, 158.92
25/02/2022 09:48:53, OPT3001, L, 158.92
25/02/2022 09:48:54, OPT3001, L, 158.60
25/02/2022 09:48:55, OPT3001, L, 158.28
25/02/2022 09:48:56, OPT3001, L, 158.28
25/02/2022 09:48:57, OPT3001, L, 157.96
25/02/2022 09:48:58, OPT3001, L, 158.28
25/02/2022 09:48:59, OPT3001, L, 158.60
25/02/2022 09:49:00, OPT3001, L, 159.24
25/02/2022 09:49:01, OPT3001, L, 159.88
25/02/2022 09:49:02, OPT3001, L, 159.88
25/02/2022 09:49:03, OPT3001, L, 160.20
25/02/2022 09:49:04, OPT3001, L, 160.20
25/02/2022 09:49:05, OPT3001, L, 159.24
25/02/2022 09:49:06, OPT3001, L, 159.56
25/02/2022 09:49:07, OPT3001, L, 159.24
25/02/2022 09:49:08, OPT3001, L, 158.92
25/02/2022 09:49:09, OPT3001, L, 158.28
25/02/2022 09:49:10, OPT3001, L, 158.28
25/02/2022 09:49:11, OPT3001, L, 157.96
25/02/2022 09:49:12, OPT3001, L, 157.32
25/02/2022 09:49:13, OPT3001, L, 157.00
25/02/2022 09:49:14, OPT3001, L, 157.00
25/02/2022 09:49:15, OPT3001, L, 157.00
25/02/2022 09:49:16, OPT3001, L, 156.36
25/02/2022 09:49:17, OPT3001, L, 155.72
25/02/2022 09:49:18, OPT3001, L, 156.04
25/02/2022 09:49:19, OPT3001, L, 156.04
25/02/2022 09:49:20, OPT3001, L, 155.72
25/02/2022 09:49:21, OPT3001, L, 155.72
25/02/2022 09:49:22, OPT3001, L, 155.08
25/02/2022 09:49:23, OPT3001, L, 155.40
25/02/2022 09:49:24, OPT3001, L, 155.08
25/02/2022 09:49:25, OPT3001, L, 155.72
25/02/2022 09:49:26, OPT3001, L, 156.04
25/02/2022 09:49:27, OPT3001, L, 156.04
25/02/2022 09:49:28, OPT3001, L, 156.04
25/02/2022 09:49:29, OPT3001, L, 155.08
25/02/2022 09:49:30, OPT3001, L, 155.08
25/02/2022 09:49:31, OPT3001, L, 154.44
25/02/2022 09:49:32, OPT3001, L, 155.08
25/02/2022 09:49:33, OPT3001, L, 155.40
25/02/2022 09:49:34, OPT3001, L, 155.08
25/02/2022 09:49:35, OPT3001, L, 155.72
25/02/2022 09:49:36, OPT3001, L, 156.04
25/02/2022 09:49:37, OPT3001, L, 155.40
25/02/2022 09:49:38, OPT3001, L, 155.40
25/02/2022 09:49:39, OPT3001, L, 154.76
25/02/2022 09:49:40, OPT3001, L, 155.08
25/02/2022 09:49:41, OPT3001, L, 156.36
25/02/2022 09:49:42, OPT3001, L, 156.04
25/02/2022 09:49:43, OPT3001, L, 156.04
25/02/2022 09:49:44, OPT3001, L, 155.72
25/02/2022 09:49:45, OPT3001, L, 155.72
